,IGN_DATE,FIRE_CAUSE,FIRE_TYPE,LATITUDE,LONGITUDE,SIZE_HA,minimum temperature,maximum temperature,average temperature,dew point,relative humidity,heat index,wind speed,wind gust,wind direction,wind chill,precipitation,visibility,cloud cover,sea level pressure,weather_type
491,19720311.0,No Cause,No Fire,58.004485701653216,-124.01177131688736,0.0,,,,,,,,,,,0.0,,,,"['""""', '58.004485701653216', '-124.01177131688736', '""58.004485701653216', ' -124.01177131688736""', '""58.004485701653216', ' -124.01177131688736""', '""No data available""', '""""\n']"
492,19701016.0,No Cause,No Fire,53.48721603850228,-125.5592641364853,0.0,,,,,,,,,,,0.0,,,,"['""""', '53.48721603850228', '-125.5592641364853', '""53.48721603850228', ' -125.5592641364853""', '""53.48721603850228', ' -125.5592641364853""', '""No data available""', '""""\n']"
493,19731224.0,No Cause,No Fire,57.022810694945385,-125.92853354792828,0.0,,,,,,,,,,,0.0,,,,"['""""', '57.022810694945385', '-125.92853354792828', '""57.022810694945385', ' -125.92853354792828""', '""57.022810694945385', ' -125.92853354792828""', '""No data available""', '""""\n']"
494,19990828.0,No Cause,No Fire,53.16395694919971,-120.57144071911335,0.0,,,,,,,,,,,0.0,,,,"['""""', '53.16395694919971', '-120.57144071911335', '""53.16395694919971', ' -120.57144071911335""', '""53.16395694919971', ' -120.57144071911335""', '""No data available""', '""""\n']"
495,20080203.0,No Cause,No Fire,56.19381041917128,-121.04485249852472,0.0,-18.7,-7.4,-12.4,-25.5,51.2,,15.7,,226.25,-37.2,0.0,20.5,49.6,1021.1,"['""Light Snow', ' Duststorm', ' Diamond Dust', ' Sky Coverage Decreasing""', '56.19381041917128', '-121.04485249852472', '""56.19381041917128', ' -121.04485249852472""', '""56.19381041917128', ' -121.04485249852472""', '""""', '""Partially cloudy""\n']"
496,20170119.0,No Cause,No Fire,52.59906070147639,-124.42726105475973,0.0,8.9,28.7,16.3,14.3,91.62,,2.2,,204.58,,0.0,618.1,0.0,994.7,"['""""', '52.59906070147639', '-124.42726105475973', '""52.59906070147639', ' -124.42726105475973""', '""52.59906070147639', ' -124.42726105475973""', '""""', '""Clear""\n']"
497,19840405.0,No Cause,No Fire,57.90436566572974,-122.34557517672316,0.0,,,,,,,,,,,0.0,,,,"['""""', '57.90436566572974', '-122.34557517672316', '""57.90436566572974', ' -122.34557517672316""', '""57.90436566572974', ' -122.34557517672316""', '""No data available""', '""""\n']"
498,20020320.0,No Cause,No Fire,58.302006506294454,-124.81608613960941,0.0,-2.1,30.3,16.5,9.3,73.12,,2.2,,180.0,,0.0,9.9,0.0,1046.3,"['""""', '58.302006506294454', '-124.81608613960941', '""58.302006506294454', ' -124.81608613960941""', '""58.302006506294454', ' -124.81608613960941""', '""""', '""Clear""\n']"
499,19871214.0,No Cause,No Fire,53.36599219598178,-115.38733519383386,0.0,3.3,39.0,24.2,17.5,75.78,,9.4,,248.56,0.2,0.0,39.4,40.7,1014.4,"['""""', '53.36599219598178', '-115.38733519383386', '""53.36599219598178', ' -115.38733519383386""', '""53.36599219598178', ' -115.38733519383386""', '""""', '""Partially cloudy""\n']"
500,19911217.0,No Cause,No Fire,54.85896507254301,-127.09881828874927,0.0,17.7,28.5,25.1,23.4,93.31,,8.1,,153.33,11.5,0.0,18.7,90.4,1006.7,"['""Light Snow', ' Sky Coverage Increasing""', '54.85896507254301', '-127.09881828874927', '""54.85896507254301', ' -127.09881828874927""', '""54.85896507254301', ' -127.09881828874927""', '""""', '""Overcast""\n']"
