,IGN_DATE,FIRE_CAUSE,FIRE_TYPE,LATITUDE,LONGITUDE,SIZE_HA,minimum temperature,maximum temperature,average temperature,dew point,relative humidity,heat index,wind speed,wind gust,wind direction,wind chill,precipitation,visibility,cloud cover,sea level pressure,weather_type
V30460,20140828.1232,Person,Nuisance Fire,50.0103,-123.1015,0.0,57.0,73.2,64.2,53.6,70.35,,7.9,24.2,146.29,,0.01,630.4,0.0,1014.7,"['""""', '50.0103', '-123.1015', '""50.0103', ' -123.1015""', '""50.0103', ' -123.1015""', '""""', '""Rain""\n']"
V30676,20120903.1803,Person,Nuisance Fire,49.96740000000001,-123.1797,0.0,46.9,71.1,57.5,47.9,73.84,,7.8,,122.71,,0.0,,0.0,1020.7,"['""""', '49.96740000000001', '-123.1797', '""49.96740000000001', ' -123.1797""', '""49.96740000000001', ' -123.1797""', '""""', '""Clear""\n']"
V30856,20120929.1217,Person,Nuisance Fire,50.5643,-122.5874,0.0,44.2,67.6,53.4,47.4,81.51,,3.6,,157.84,43.7,0.0,,0.0,1023.5,"['""""', '50.5643', '-122.5874', '""50.5643', ' -122.5874""', '""50.5643', ' -122.5874""', '""""', '""Clear""\n']"
V70523,20020907.0719,Person,Nuisance Fire,49.3415,-124.5578,0.0,55.1,62.7,58.8,51.9,78.12,,18.3,,152.13,,0.0,19.5,7.9,1015.1,"['""Rain Showers', ' Sky Coverage Increasing""', '49.3415', '-124.5578', '""49.3415', ' -124.5578""', '""49.3415', ' -124.5578""', '""""', '""Clear""\n']"
G10164,20000628.15,Lightning,Smoke Chase,54.4482,-122.0887,0.0,48.5,77.1,62.2,52.4,72.99,,17.2,,189.17,,0.06,35.9,71.3,1013.9,"['""Thunderstorm', ' Thunderstorm Without Precipitation', ' Rain Showers', ' Fog""', '54.4482', '-122.0887', '""54.4482', ' -122.0887""', '""54.4482', ' -122.0887""', '""""', '""Rain', ' Partially cloudy""\n']"
V30775,20081012.1837,Person,Nuisance Fire,50.3947,-122.7043,0.0,34.2,58.0,45.8,39.3,80.81,,5.0,,169.67,41.7,0.01,,0.0,1026.9,"['""""', '50.3947', '-122.7043', '""50.3947', ' -122.7043""', '""50.3947', ' -122.7043""', '""""', '""Rain""\n']"
V10707,20110821.1641,Person,Nuisance Fire,49.4392,-121.2951,0.0,61.8,85.7,71.3,55.5,59.8,83.6,13.6,27.5,233.79,,0.0,8.7,10.3,1010.4,"['""""', '49.4392', '-121.2951', '""49.4392', ' -121.2951""', '""49.4392', ' -121.2951""', '""""', '""Clear""\n']"
V10057,20160522.1346,Person,Nuisance Fire,49.0962,-121.6724,0.0,51.7,58.2,54.4,50.0,85.45,,5.4,21.9,173.71,,0.26,196.1,5.5,1011.8,"['""Mist', ' Light Rain""', '49.0962', '-121.6724', '""49.0962', ' -121.6724""', '""49.0962', ' -121.6724""', '""""', '""Rain""\n']"
V80416,20080803.1505,Person,Nuisance Fire,49.628,-125.0913,0.0,52.7,75.6,63.5,51.0,65.81,,13.1,27.7,293.63,,0.0,19.7,13.5,1018.6,"['""""', '49.628', '-125.0913', '""49.628', ' -125.0913""', '""49.628', ' -125.0913""', '""""', '""Clear""\n']"
V80222,20070717.1614,Person,Nuisance Fire,50.0398,-125.2897,0.0,57.4,67.9,63.0,56.8,80.55,,6.7,27.7,,,0.04,24.5,82.0,1012.3,"['""Mist', ' Rain Showers', ' Light Rain', ' Sky Coverage Increasing""', '50.0398', '-125.2897', '""50.0398', ' -125.2897""', '""50.0398', ' -125.2897""', '""""', '""Rain', ' Overcast""\n']"
V70731,20090716.0823,Person,Nuisance Fire,49.0682,-123.9575,0.0,62.9,76.9,68.5,56.7,67.28,,10.8,,192.71,,0.0,,0.0,1019.7,"['""""', '49.0682', '-123.9575', '""49.0682', ' -123.9575""', '""49.0682', ' -123.9575""', '""""', '""Clear""\n']"
V80143,20080610.11,Person,Nuisance Fire,49.93980000000001,-125.1902,0.0,50.1,60.6,54.7,46.1,72.86,,15.4,39.1,210.83,,0.0,19.1,42.6,1019.5,"['""""', '49.93980000000001', '-125.1902', '""49.93980000000001', ' -125.1902""', '""49.93980000000001', ' -125.1902""', '""""', '""Partially cloudy""\n']"
V60227,20080703.232,Person,Nuisance Fire,48.7451,-123.2285,0.0,54.2,60.3,56.6,52.6,86.34,,9.0,,173.5,,0.02,8.8,28.3,1012.3,"['""Mist', ' Light Rain""', '48.7451', '-123.2285', '""48.7451', ' -123.2285""', '""48.7451', ' -123.2285""', '""""', '""Rain', ' Partially cloudy""\n']"
V70403,20140816.2125,Person,Nuisance Fire,49.2183,-125.0804,0.0,61.3,78.5,68.5,60.7,77.56,,5.9,20.8,198.58,,0.01,111.8,6.3,1019.6,"['""""', '49.2183', '-125.0804', '""49.2183', ' -125.0804""', '""49.2183', ' -125.0804""', '""""', '""Rain""\n']"
V70577,20090704.1936,Person,Nuisance Fire,49.1414,-124.8132,0.0,54.2,83.5,69.0,51.4,57.99,81.7,8.2,24.9,229.71,,0.0,19.7,6.4,1013.6,"['""""', '49.1414', '-124.8132', '""49.1414', ' -124.8132""', '""49.1414', ' -124.8132""', '""""', '""Clear""\n']"
V10508,20080814.1022,Person,Nuisance Fire,49.3733,-123.0813,0.0,65.7,80.4,72.0,57.9,61.85,80.7,3.9,,145.83,,0.0,,0.0,1015.9,"['""""', '49.3733', '-123.0813', '""49.3733', ' -123.0813""', '""49.3733', ' -123.0813""', '""""', '""Clear""\n']"
V30862,20110904.1854,Person,Nuisance Fire,50.77990000000001,-123.3876,0.0,43.8,79.0,59.3,43.0,61.85,,5.6,,136.36,,0.0,14.9,2.8,1013.9,"['""""', '50.77990000000001', '-123.3876', '""50.77990000000001', ' -123.3876""', '""50.77990000000001', ' -123.3876""', '""""', '""Clear""\n']"
V60077,20050615.1325,Person,Nuisance Fire,49.8964,-125.2802,0.0,51.9,62.8,57.4,44.9,64.41,,11.5,21.9,164.92,,0.0,,0.0,1011.1,"['""""', '49.8964', '-125.2802', '""49.8964', ' -125.2802""', '""49.8964', ' -125.2802""', '""""', '""Clear""\n']"
V30919,20110906.1328,Person,Nuisance Fire,49.9161,-123.2957,0.0,49.7,78.7,62.6,48.1,64.43,,7.0,,115.13,,0.0,,0.0,1020.3,"['""""', '49.9161', '-123.2957', '""49.9161', ' -123.2957""', '""49.9161', ' -123.2957""', '""""', '""Clear""\n']"
V30142,20090518.1717,Person,Nuisance Fire,49.732,-122.3274,0.0,44.9,57.2,50.8,46.7,86.27,,6.5,,164.54,44.1,0.36,,0.0,1010.1,"['""""', '49.732', '-122.3274', '""49.732', ' -122.3274""', '""49.732', ' -122.3274""', '""""', '""Rain""\n']"
V10529,20080816.2225,Person,Nuisance Fire,49.5302,-121.8869,0.0,63.6,89.5,75.8,64.7,70.89,92.9,9.5,21.9,160.38,,0.02,8.7,0.0,1008.3,"['""""', '49.5302', '-121.8869', '""49.5302', ' -121.8869""', '""49.5302', ' -121.8869""', '""""', '""Rain""\n']"
G11522,20170803.0937,Unknown,Smoke Chase,53.5942,-122.5852,0.0,50.8,84.7,68.4,44.0,45.71,82.1,14.6,28.6,234.33,,0.0,80.2,2.5,1018.9,"['""Smoke Or Haze""', '53.5942', '-122.5852', '""53.5942', ' -122.5852""', '""53.5942', ' -122.5852""', '""""', '""Clear""\n']"
V70724,20080921.1526,Person,Nuisance Fire,49.0718,-123.9636,0.0,52.3,61.1,56.6,49.2,76.37,,18.9,28.3,298.46,,0.06,,0.0,1015.5,"['""""', '49.0718', '-123.9636', '""49.0718', ' -123.9636""', '""49.0718', ' -123.9636""', '""""', '""Rain""\n']"
V71466,20090813.1539,Person,Nuisance Fire,49.3087,-124.8729,0.0,53.8,66.2,59.2,53.3,81.41,,4.5,23.0,163.83,,0.12,19.7,0.4,1018.5,"['""Rain Showers', ' Sky Coverage Decreasing', ' Sky Coverage Increasing""', '49.3087', '-124.8729', '""49.3087', ' -124.8729""', '""49.3087', ' -124.8729""', '""""', '""Rain""\n']"
G11519,20170802.1828,Unknown,Smoke Chase,53.8639,-123.3706,0.0,44.7,82.3,63.7,42.3,53.18,79.9,7.6,,235.33,48.0,0.0,77.6,0.0,1023.2,"['""""', '53.8639', '-123.3706', '""53.8639', ' -123.3706""', '""53.8639', ' -123.3706""', '""""', '""Clear""\n']"
V10355,20040719.2146,Person,Nuisance Fire,49.0427,-121.9578,0.0,60.1,78.8,70.1,60.8,74.01,,8.6,,215.96,,0.18,9.2,24.2,1014.7,"['""Rain', ' Heavy Rain', ' Light Rain""', '49.0427', '-121.9578', '""49.0427', ' -121.9578""', '""49.0427', ' -121.9578""', '""""', '""Rain""\n']"
V10947,20121018.1259,Person,Nuisance Fire,49.0977,-121.8117,0.0,48.0,56.1,50.5,47.8,90.9,,7.7,27.5,160.42,47.6,2.89,8.1,20.0,1010.8,"['""Mist', ' Rain', ' Light Rain""', '49.0977', '-121.8117', '""49.0977', ' -121.8117""', '""49.0977', ' -121.8117""', '""""', '""Rain""\n']"
V11294,20100919.123,Person,Nuisance Fire,49.2111,-122.0174,0.0,55.6,63.6,58.6,56.4,92.43,,4.2,26.2,119.04,,2.47,7.9,18.6,1005.6,"['""""', '49.2111', '-122.0174', '""49.2111', ' -122.0174""', '""49.2111', ' -122.0174""', '""""', '""Rain""\n']"
N70639,20060819.0813,Person,Nuisance Fire,49.4924,-117.3628,0.0,53.9,91.5,69.3,51.6,56.15,90.0,6.8,,,,0.0,14.5,0.8,1013.5,"['""""', '49.4924', '-117.3628', '""49.4924', ' -117.3628""', '""49.4924', ' -117.3628""', '""""', '""Clear""\n']"
V10485,20140901.1435,Person,Nuisance Fire,49.4509,-121.8576,0.0,56.3,69.0,62.3,55.8,80.78,,7.0,18.3,201.79,,0.03,137.2,25.7,1015.9,"['""Light Rain""', '49.4509', '-121.8576', '""49.4509', ' -121.8576""', '""49.4509', ' -121.8576""', '""""', '""Rain', ' Partially cloudy""\n']"
V10151,20120715.1423,Person,Nuisance Fire,49.2497,-121.4715,0.0,58.7,67.7,62.8,59.6,89.37,,8.1,19.7,208.88,,0.9,7.8,39.7,1010.8,"['""Mist', ' Heavy Rain', ' Light Rain""', '49.2497', '-121.4715', '""49.2497', ' -121.4715""', '""49.2497', ' -121.4715""', '""""', '""Rain', ' Partially cloudy""\n']"
V10234,20160724.1954,Person,Nuisance Fire,49.24950000000001,-121.6024,0.0,56.5,79.8,68.1,56.9,69.88,,7.8,,157.38,,0.0,216.5,0.0,1017.3,"['""""', '49.24950000000001', '-121.6024', '""49.24950000000001', ' -121.6024""', '""49.24950000000001', ' -121.6024""', '""""', '""Clear""\n']"
V10046,20150517.1741,Person,Nuisance Fire,49.5955,-121.9288,0.0,56.7,72.2,62.3,53.6,74.14,,9.4,25.3,181.25,,0.09,235.6,1.2,1017.8,"['""Light Rain""', '49.5955', '-121.9288', '""49.5955', ' -121.9288""', '""49.5955', ' -121.9288""', '""""', '""Rain""\n']"
V70021,20110504.0851,Person,Nuisance Fire,49.37110000000001,-124.6193,0.0,44.0,59.4,50.8,41.2,71.26,,7.5,20.7,149.42,43.5,0.03,,0.0,1023.1,"['""""', '49.37110000000001', '-124.6193', '""49.37110000000001', ' -124.6193""', '""49.37110000000001', ' -124.6193""', '""""', '""Rain""\n']"
V90181,20070713.0909,Lightning,Nuisance Fire,50.95970000000001,-125.5916,0.0,52.4,59.1,57.1,53.5,87.64,,27.5,32.2,,,0.01,,0.0,1016.2,"['""""', '50.95970000000001', '-125.5916', '""50.95970000000001', ' -125.5916""', '""50.95970000000001', ' -125.5916""', '""""', '""Rain""\n']"
V60457,20100718.1336,Person,Nuisance Fire,48.9133,-124.3911,0.0,55.1,72.1,63.2,52.4,68.7,,14.4,27.7,237.46,,0.0,,0.0,1019.6,"['""""', '48.9133', '-124.3911', '""48.9133', ' -124.3911""', '""48.9133', ' -124.3911""', '""""', '""Clear""\n']"
C20196,20090615.1159,Person,Nuisance Fire,52.04170000000001,-122.9,0.0,46.5,75.3,60.7,46.2,63.05,,11.4,33.3,213.33,,0.01,14.9,67.4,1011.1,"['""Thunderstorm', ' Rain Showers', ' Sky Coverage Decreasing', ' Sky Coverage Increasing""', '52.04170000000001', '-122.9', '""52.04170000000001', ' -122.9""', '""52.04170000000001', ' -122.9""', '""""', '""Rain', ' Partially cloudy""\n']"
V60687,20090711.1605,Person,Nuisance Fire,48.6433,-123.7379,0.0,54.3,74.9,64.5,53.3,68.49,,10.8,25.3,248.58,,0.01,9.0,5.6,1015.7,"['""Mist', ' Fog', ' Light Rain""', '48.6433', '-123.7379', '""48.6433', ' -123.7379""', '""48.6433', ' -123.7379""', '""""', '""Rain""\n']"
V70423,20110724.2019,Person,Nuisance Fire,49.41,-125.1,0.0,58.5,83.4,69.4,54.5,62.45,81.8,6.1,,203.67,,0.0,19.7,10.9,1014.8,"['""""', '49.41', '-125.1', '""49.41', ' -125.1""', '""49.41', ' -125.1""', '""""', '""Clear""\n']"
K51385,20070901.1155,Person,Nuisance Fire,49.9996,-119.6059,0.0,52.9,74.2,62.9,46.0,56.42,,10.6,19.7,,,0.0,8.7,0.9,1014.4,"['""""', '49.9996', '-119.6059', '""49.9996', ' -119.6059""', '""49.9996', ' -119.6059""', '""""', '""Clear""\n']"
K21034,20010526.18,Person,Nuisance Fire,51.20220000000001,-119.786,0.0,55.9,84.1,69.6,48.6,49.68,82.3,9.3,,195.3,,0.0,29.3,40.2,1005.7,"['""""', '51.20220000000001', '-119.786', '""51.20220000000001', ' -119.786""', '""51.20220000000001', ' -119.786""', '""""', '""Partially cloudy""\n']"
V10752,20080930.1429,Person,Nuisance Fire,49.33920000000001,-122.7821,0.0,51.0,71.7,61.0,52.3,74.75,,3.1,,166.33,,0.0,,0.0,1016.6,"['""""', '49.33920000000001', '-122.7821', '""49.33920000000001', ' -122.7821""', '""49.33920000000001', ' -122.7821""', '""""', '""Clear""\n']"
V50463,20130805.1458,Person,Nuisance Fire,49.5134,-123.8159,0.0,56.2,76.8,66.6,55.4,68.86,,6.0,,232.67,,0.0,630.7,0.0,1015.0,"['""""', '49.5134', '-123.8159', '""49.5134', ' -123.8159""', '""49.5134', ' -123.8159""', '""""', '""Clear""\n']"
V80068,20090505.1559,Person,Nuisance Fire,50.1048,-125.3291,0.0,30.7,56.7,46.5,38.3,75.03,,25.1,36.0,169.5,24.5,0.2,18.5,80.8,1006.9,"['""Rain Showers', ' Light Rain', ' Sky Coverage Increasing""', '50.1048', '-125.3291', '""50.1048', ' -125.3291""', '""50.1048', ' -125.3291""', '""""', '""Rain', ' Overcast""\n']"
V10709,20061002.2038,Person,Nuisance Fire,49.4496,-121.2667,0.0,45.7,62.8,52.8,44.4,74.53,,11.6,21.7,,42.1,0.0,8.7,7.1,1018.5,"['""""', '49.4496', '-121.2667', '""49.4496', ' -121.2667""', '""49.4496', ' -121.2667""', '""""', '""Clear""\n']"
V10045,20120520.1415,Person,Nuisance Fire,49.07250000000001,-121.7038,0.0,52.4,61.6,55.5,48.0,77.9,,7.5,17.2,168.96,,0.51,7.6,14.3,1015.3,"['""Mist', ' Rain', ' Light Rain""', '49.07250000000001', '-121.7038', '""49.07250000000001', ' -121.7038""', '""49.07250000000001', ' -121.7038""', '""""', '""Rain""\n']"
V71784,20190927.225229003,Person,Nuisance Fire,49.1942,-124.0988,0.0,50.4,57.4,53.3,44.9,73.82,,20.0,31.1,305.25,,0.31,628.2,0.0,1010.7,"['""""', '49.1942', '-124.0988', '""49.1942', ' -124.0988""', '""49.1942', ' -124.0988""', '""""', '""Rain""\n']"
V11508,20090815.2225,Person,Nuisance Fire,49.3763,-122.3088,0.0,53.7,65.5,60.0,54.1,81.47,,5.0,20.8,157.33,,0.02,8.7,12.0,1021.8,"['""""', '49.3763', '-122.3088', '""49.3763', ' -122.3088""', '""49.3763', ' -122.3088""', '""""', '""Rain""\n']"
V10395,20100711.2023,Person,Nuisance Fire,49.3266,-121.4256,0.0,57.1,76.8,69.2,55.7,62.51,,18.7,30.0,287.08,,0.0,8.7,58.7,1009.9,"['""""', '49.3266', '-121.4256', '""49.3266', ' -121.4256""', '""49.3266', ' -121.4256""', '""""', '""Partially cloudy""\n']"
V10793,20110828.1748,Person,Nuisance Fire,49.4327,-121.84100000000001,0.0,55.4,81.3,68.0,57.7,71.91,82.4,8.1,20.5,205.13,,0.0,8.1,0.0,1013.1,"['""""', '49.4327', '-121.84100000000001', '""49.4327', ' -121.84100000000001""', '""49.4327', ' -121.84100000000001""', '""""', '""Clear""\n']"
V60500,20100719.112999998,Person,Nuisance Fire,48.945,-123.8123,0.0,58.4,67.6,62.9,55.2,76.11,,16.7,27.7,214.25,,0.0,,0.0,1019.4,"['""""', '48.945', '-123.8123', '""48.945', ' -123.8123""', '""48.945', ' -123.8123""', '""""', '""Clear""\n']"
V10469,20120819.2104,Person,Nuisance Fire,49.3541,-121.7678,0.0,61.5,70.4,65.7,59.7,81.3,,8.0,28.9,221.92,,0.0,8.7,18.4,1015.4,"['""""', '49.3541', '-121.7678', '""49.3541', ' -121.7678""', '""49.3541', ' -121.7678""', '""""', '""Clear""\n']"
N50407,20040814.1456,Person,Nuisance Fire,49.45,-117.55,0.0,64.5,95.1,77.0,56.5,53.4,93.3,8.1,,113.13,,0.0,14.9,16.1,1012.1,"['""""', '49.45', '-117.55', '""49.45', ' -117.55""', '""49.45', ' -117.55""', '""""', '""Clear""\n']"
N40065,20140706.1701,Person,Nuisance Fire,51.23880000000001,-116.6711,0.0,43.9,76.0,59.7,47.4,68.01,,12.6,35.6,252.63,41.7,0.03,161.7,22.3,1019.6,"['""Mist', ' Rain Showers""', '51.23880000000001', '-116.6711', '""51.23880000000001', ' -116.6711""', '""51.23880000000001', ' -116.6711""', '""""', '""Rain""\n']"
V50917,20110906.0832,Person,Nuisance Fire,49.4337,-123.6185,0.0,54.3,75.0,66.1,50.7,58.29,,5.5,,244.0,,0.0,,0.0,1019.8,"['""""', '49.4337', '-123.6185', '""49.4337', ' -123.6185""', '""49.4337', ' -123.6185""', '""""', '""Clear""\n']"
V30048,20140519.1738,Person,Nuisance Fire,50.1186,-123.3943,0.0,44.7,57.0,50.7,45.9,84.04,,5.5,,150.21,,0.04,631.4,0.0,1016.6,"['""""', '50.1186', '-123.3943', '""50.1186', ' -123.3943""', '""50.1186', ' -123.3943""', '""""', '""Rain""\n']"
V30117,20130701.1249,Person,Nuisance Fire,49.7178,-123.0525,0.0,62.9,86.9,74.5,58.6,61.59,85.7,8.3,19.5,161.92,,0.0,629.7,0.0,1013.6,"['""""', '49.7178', '-123.0525', '""49.7178', ' -123.0525""', '""49.7178', ' -123.0525""', '""""', '""Clear""\n']"
V11017,20110914.18,Person,Nuisance Fire,49.0366,-122.0062,0.0,58.3,67.2,62.2,55.2,78.23,,4.6,,147.38,,0.0,9.9,37.5,1014.7,"['""""', '49.0366', '-122.0062', '""49.0366', ' -122.0062""', '""49.0366', ' -122.0062""', '""""', '""Partially cloudy""\n']"
R20084,20120806.1455,Person,Nuisance Fire,54.3167,-126.6667,0.0,51.6,83.1,66.4,48.9,58.94,81.0,5.6,,192.5,,0.0,19.6,38.1,1017.3,"['""""', '54.3167', '-126.6667', '""54.3167', ' -126.6667""', '""54.3167', ' -126.6667""', '""""', '""Partially cloudy""\n']"
K71461,20070903.17,Person,Nuisance Fire,50.6572,-121.9017,0.0,53.7,66.3,61.7,50.3,66.64,,7.4,,,,0.02,8.7,0.3,1012.0,"['""Light Rain""', '50.6572', '-121.9017', '""50.6572', ' -121.9017""', '""50.6572', ' -121.9017""', '""""', '""Rain""\n']"
V10419,20110724.1647,Person,Nuisance Fire,49.098,-121.6705,0.0,55.8,83.8,69.6,55.5,65.42,83.1,5.6,21.9,148.42,,0.05,9.1,0.6,1014.2,"['""""', '49.098', '-121.6705', '""49.098', ' -121.6705""', '""49.098', ' -121.6705""', '""""', '""Rain""\n']"
V10111,20110530.1707,Person,Other,49.2078,-121.9283,0.0,51.3,59.1,54.6,49.4,82.95,,7.7,19.7,190.83,,0.8,9.0,8.1,1013.5,"['""""', '49.2078', '-121.9283', '""49.2078', ' -121.9283""', '""49.2078', ' -121.9283""', '""""', '""Rain""\n']"
V30268,20160731.1644,Person,Nuisance Fire,49.9425,-123.3074,0.0,51.0,71.2,61.5,50.9,70.23,,8.6,19.5,171.71,,0.0,631.6,0.0,1016.5,"['""""', '49.9425', '-123.3074', '""49.9425', ' -123.3074""', '""49.9425', ' -123.3074""', '""""', '""Clear""\n']"
V51231,20100606.1659,Person,Nuisance Fire,49.9452,-124.305,0.0,52.4,59.6,56.3,51.5,84.18,,5.8,,198.16,,0.1,,0.0,1016.4,"['""""', '49.9452', '-124.305', '""49.9452', ' -124.305""', '""49.9452', ' -124.305""', '""""', '""Rain""\n']"
V10866,20120930.154,Person,Nuisance Fire,49.68660000000001,-121.7421,0.0,47.8,67.5,55.8,46.3,71.95,,10.4,30.4,164.63,44.7,0.02,7.8,36.0,1022.9,"['""Mist', ' Rain', ' Light Rain', ' Smoke Or Haze""', '49.68660000000001', '-121.7421', '""49.68660000000001', ' -121.7421""', '""49.68660000000001', ' -121.7421""', '""""', '""Rain', ' Partially cloudy""\n']"
G30287,20170608.1202,Unknown,Smoke Chase,52.2939,-119.2123,0.0,51.6,71.2,58.1,52.0,81.86,,8.0,18.5,194.0,,0.66,109.6,6.3,1004.1,"['""Mist', ' Precipitation In Vicinity', ' Rain Showers""', '52.2939', '-119.2123', '""52.2939', ' -119.2123""', '""52.2939', ' -119.2123""', '""""', '""Rain""\n']"
R90214,20121020.1454,Person,Nuisance Fire,57.8034,-129.9438,0.0,6.3,24.8,19.3,8.9,64.34,,11.1,19.5,66.08,8.0,0.0,,0.0,1019.4,"['""""', '57.8034', '-129.9438', '""57.8034', ' -129.9438""', '""57.8034', ' -129.9438""', '""""', '""Clear""\n']"
V10739,20120909.1348,Person,Nuisance Fire,49.5219,-121.7666,0.0,48.3,63.9,55.7,50.0,81.92,,20.0,51.9,261.54,45.7,0.41,8.7,51.1,1009.4,"['""Light Rain""', '49.5219', '-121.7666', '""49.5219', ' -121.7666""', '""49.5219', ' -121.7666""', '""""', '""Rain', ' Partially cloudy""\n']"
V80157,20070709.1239,Person,Nuisance Fire,49.7584,-125.1001,0.0,60.2,76.5,67.3,52.6,60.74,,18.3,27.7,,,0.0,23.1,35.4,1020.7,"['""""', '49.7584', '-125.1001', '""49.7584', ' -125.1001""', '""49.7584', ' -125.1001""', '""""', '""Partially cloudy""\n']"
V90733,20131023.1517,Person,Nuisance Fire,50.16880000000001,-126.6538,0.0,39.1,53.5,46.2,45.7,98.18,,5.8,,151.64,35.7,0.02,6.3,40.2,1016.9,"['""Mist', ' Light Drizzle', ' Fog', ' Sky Coverage Decreasing""', '50.16880000000001', '-126.6538', '""50.16880000000001', ' -126.6538""', '""50.16880000000001', ' -126.6538""', '""""', '""Rain', ' Partially cloudy""\n']"
R10194,20120916.1711,Person,Nuisance Fire,54.02220000000001,-125.7653,0.0,30.4,68.3,47.5,35.4,68.32,,5.3,,136.88,27.1,0.0,,0.0,1026.9,"['""""', '54.02220000000001', '-125.7653', '""54.02220000000001', ' -125.7653""', '""54.02220000000001', ' -125.7653""', '""""', '""Clear""\n']"
K62008,20091011.1255,Person,Nuisance Fire,50.15660000000001,-120.8827,0.0,21.6,49.1,32.3,11.8,45.11,,7.4,,106.21,16.4,0.02,19.5,5.7,1016.3,"['""""', '50.15660000000001', '-120.8827', '""50.15660000000001', ' -120.8827""', '""50.15660000000001', ' -120.8827""', '""""', '""Rain""\n']"
G90149,20000627.171,Lightning,Smoke Chase,59.25,-121.8333,0.0,51.9,82.5,67.9,48.9,55.25,80.9,13.9,,197.69,,0.0,29.3,50.4,1015.2,"['""Precipitation In Vicinity""', '59.25', '-121.8333', '""59.25', ' -121.8333""', '""59.25', ' -121.8333""', '""""', '""Partially cloudy""\n']"
V11826,20170821.1034,Person,Nuisance Fire,49.0623,-121.9462,0.0,54.9,80.9,67.0,55.0,68.89,80.6,6.4,,146.38,,0.0,158.9,0.0,1017.3,"['""""', '49.0623', '-121.9462', '""49.0623', ' -121.9462""', '""49.0623', ' -121.9462""', '""""', '""Clear""\n']"
V50182,20110618.1219,Person,Nuisance Fire,49.9305,-124.6713,0.0,55.3,65.9,59.6,51.9,76.31,,8.8,20.8,237.38,,0.1,18.2,48.4,1013.6,"['""Sky Coverage Increasing""', '49.9305', '-124.6713', '""49.9305', ' -124.6713""', '""49.9305', ' -124.6713""', '""""', '""Rain', ' Partially cloudy""\n']"
V70337,20070812.2314,Person,Nuisance Fire,48.83,-123.76,0.0,52.8,63.0,57.5,52.4,83.63,,6.9,,,,0.0,9.9,24.1,1019.7,"['""""', '48.83', '-123.76', '""48.83', ' -123.76""', '""48.83', ' -123.76""', '""""', '""Clear""\n']"
V71835,20091004.1523,Person,Nuisance Fire,49.1223,-123.9768,0.0,51.0,59.9,55.8,43.4,63.44,,19.0,34.4,313.83,,0.0,,0.0,1016.8,"['""""', '49.1223', '-123.9768', '""49.1223', ' -123.9768""', '""49.1223', ' -123.9768""', '""""', '""Clear""\n']"
V70433,20040731.14,Person,Nuisance Fire,49.1344,-123.9456,0.0,62.0,71.2,66.3,57.2,72.79,,22.4,,294.46,,0.0,,0.0,1011.9,"['""""', '49.1344', '-123.9456', '""49.1344', ' -123.9456""', '""49.1344', ' -123.9456""', '""""', '""Clear""\n']"
C41720,20180731.162,Unknown,Smoke Chase,51.32720000000001,-122.1575,0.0,51.8,88.3,69.8,45.9,47.41,84.7,9.4,,152.5,,0.0,45.3,31.4,1013.4,"['""""', '51.32720000000001', '-122.1575', '""51.32720000000001', ' -122.1575""', '""51.32720000000001', ' -122.1575""', '""""', '""Partially cloudy""\n']"
V70217,20070716.1759,Person,Nuisance Fire,49.2898,-124.3916,0.0,64.0,73.0,68.1,58.5,71.97,,7.5,,,,0.0,,0.0,1012.0,"['""""', '49.2898', '-124.3916', '""49.2898', ' -124.3916""', '""49.2898', ' -124.3916""', '""""', '""Clear""\n']"
V10596,20120901.1231,Person,Nuisance Fire,49.34560000000001,-121.8703,0.0,46.6,71.4,58.4,48.2,72.32,,7.2,20.8,189.92,,0.0,32.1,5.2,1019.8,"['""""', '49.34560000000001', '-121.8703', '""49.34560000000001', ' -121.8703""', '""49.34560000000001', ' -121.8703""', '""""', '""Clear""\n']"
V10848,20110904.1405,Person,Nuisance Fire,49.84050000000001,-121.5149,0.0,54.0,85.1,67.2,46.0,49.61,82.1,12.4,29.1,226.25,,0.08,8.7,0.6,1011.8,"['""""', '49.84050000000001', '-121.5149', '""49.84050000000001', ' -121.5149""', '""49.84050000000001', ' -121.5149""', '""""', '""Rain""\n']"
V71750,20090907.162,Person,Nuisance Fire,49.3032,-124.236,0.0,49.8,61.9,54.9,50.7,86.08,,7.9,,151.96,,0.04,,0.0,1017.8,"['""""', '49.3032', '-124.236', '""49.3032', ' -124.236""', '""49.3032', ' -124.236""', '""""', '""Rain""\n']"
R10129,20120812.1639,Person,Nuisance Fire,54.0333,-126.15,0.0,50.1,70.4,60.6,46.5,62.04,,16.1,23.0,229.13,,0.0,,0.0,1017.1,"['""""', '54.0333', '-126.15', '""54.0333', ' -126.15""', '""54.0333', ' -126.15""', '""""', '""Clear""\n']"
V10498,20100719.2157,Person,Nuisance Fire,49.0592,-121.9929,0.0,53.9,71.3,62.5,54.8,77.24,,8.7,25.3,180.88,,0.02,9.1,8.0,1019.6,"['""Mist""', '49.0592', '-121.9929', '""49.0592', ' -121.9929""', '""49.0592', ' -121.9929""', '""""', '""Rain""\n']"
