FIRE_NO,IGN_DATE,FIRE_CAUSE,FIRE_TYPE,LATITUDE,LONGITUDE,SIZE_HA,minimum temperature,maximum temperature,average temperature,dew point,relative humidity,heat index,wind speed,wind gust,wind direction,wind chill,precipitation,visibility,cloud cover,sea level pressure,weather_type
G90304,20120729.1851,Lightning,Fire,59.5904,-121.7107,26.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']"
G70112,20060504.13,Person,Fire,56.0467,-120.46600000000001,45.0,50.4,68.9,59.5,27.6,30.53,,17.6,29.1,,,0.0,14.9,70.7,1012.4,"['""""', '56.0467', '-120.46600000000001', '""56.0467', ' -120.46600000000001""', '""56.0467', ' -120.46600000000001""', '""""', '""Partially cloudy""\n']"
K50312,20140722.0315,Person,Fire,49.31630000000001,-119.6999,6.71,58.8,73.6,66.6,50.6,57.77,,9.4,24.2,214.63,,0.04,632.3,0.0,1017.5,"['""""', '49.31630000000001', '-119.6999', '""49.31630000000001', ' -119.6999""', '""49.31630000000001', ' -119.6999""', '""""', '""Rain""\n']"
VA0343,20130731.1619,Lightning,Fire,52.4118,-126.1095,2.5,53.6,86.0,72.4,56.4,62.06,85.0,9.2,,120.77,,0.0,14.9,31.6,1017.4,"['""Thunderstorm""', '52.4118', '-126.1095', '""52.4118', ' -126.1095""', '""52.4118', ' -126.1095""', '""""', '""Partially cloudy""\n']"
C20111,20150629.2115,Lightning,Fire,51.8691,-122.2932,24.8,55.2,78.8,65.4,57.5,78.25,,10.3,,128.75,,0.35,14.2,48.8,1016.5,"['""Drizzle', ' Mist', ' Thunderstorm', ' Fog""', '51.8691', '-122.2932', '""51.8691', ' -122.2932""', '""51.8691', ' -122.2932""', '""""', '""Rain', ' Partially cloudy""\n']"
R20009,20130424.152,Person,Nuisance Fire,54.3804,-126.6768,3.0,36.9,59.0,47.7,30.6,53.43,,15.0,30.0,204.3,37.0,0.0,17.6,76.0,1015.5,"['""""', '54.3804', '-126.6768', '""54.3804', ' -126.6768""', '""54.3804', ' -126.6768""', '""""', '""Overcast""\n']"
K60265,20140714.14,Lightning,Fire,49.7594,-121.0627,400.0,59.9,90.2,76.0,53.5,49.31,87.2,11.3,40.3,207.88,,0.0,135.8,3.6,1016.7,"['""Light Rain""', '49.7594', '-121.0627', '""49.7594', ' -121.0627""', '""49.7594', ' -121.0627""', '""""', '""Clear""\n']"
G80666,20060822.16,Lightning,Fire,56.29060000000001,-121.7462,6.6000000000000005,48.4,72.0,62.3,38.8,43.73,,12.7,23.0,,45.5,0.0,19.9,83.2,1012.9,"['""""', '56.29060000000001', '-121.7462', '""56.29060000000001', ' -121.7462""', '""56.29060000000001', ' -121.7462""', '""""', '""Overcast""\n']"
K61850,20200318.112999998,Person,Fire,50.1587,-120.8709,8.9,17.8,53.7,33.7,18.9,61.32,,6.2,,120.42,13.2,0.0,60.4,0.1,1014.7,"['""""', '50.1587', '-120.8709', '""50.1587', ' -120.8709""', '""50.1587', ' -120.8709""', '""""', '""Clear""\n']"
G40372,20060702.173,Lightning,Fire,52.9761,-125.6123,375.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']"
N50733,20131025.12,Person,Fire,50.1323,-117.7144,4.5,39.4,44.4,41.8,39.1,90.01,,4.6,,109.58,37.3,0.0,638.9,0.0,1028.0,"['""""', '50.1323', '-117.7144', '""50.1323', ' -117.7144""', '""50.1323', ' -117.7144""', '""""', '""Clear""\n']"
C40038,20000418.12,Person,Fire,51.4042,-121.2667,25.0,34.4,62.7,49.2,18.6,32.44,,12.8,,180.0,29.3,0.02,8.7,30.4,1011.2,"['""""', '51.4042', '-121.2667', '""51.4042', ' -121.2667""', '""51.4042', ' -121.2667""', '""""', '""Rain', ' Partially cloudy""\n']"
K70012,20120409.1209,Person,Fire,50.7608,-121.8326,29.0,38.8,68.9,52.3,24.8,36.56,,6.9,,194.38,42.3,0.04,8.7,2.6,1014.9,"['""""', '50.7608', '-121.8326', '""50.7608', ' -121.8326""', '""50.7608', ' -121.8326""', '""""', '""Rain""\n']"
V90012,20030506.153,Person,Fire,50.76600000000001,-127.5797,3.2,44.8,54.7,48.8,39.7,71.35,,14.8,,250.58,40.7,0.0,18.0,33.3,1016.9,"['""""', '50.76600000000001', '-127.5797', '""50.76600000000001', ' -127.5797""', '""50.76600000000001', ' -127.5797""', '""""', '""Partially cloudy""\n']"
R50020,20140214.13,Unknown,Fire,55.41090000000001,-128.8722,36.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']"
G60092,20090603.202999998,Person,Fire,56.8838,-125.3602,2.9,,,,,,,,,,,0.0,,,,"['""""', '56.8838', '-125.3602', '""56.8838', ' -125.3602""', '""56.8838', ' -125.3602""', '""No data available""', '""""\n']"
C40620,20180620.1556,Lightning,Fire,52.0126,-121.3846,22.0,51.8,86.0,65.5,51.6,67.77,83.6,15.3,31.1,167.42,,0.3,14.9,49.9,1014.4,"['""Thunderstorm', ' Sky Coverage Increasing""', '52.0126', '-121.3846', '""52.0126', ' -121.3846""', '""52.0126', ' -121.3846""', '""""', '""Rain', ' Partially cloudy""\n']"
K50588,20170704.1529,Unknown,Fire,49.3777,-119.5803,6.5,58.4,88.5,73.3,37.0,29.5,84.7,9.9,20.8,185.33,,0.0,201.0,0.0,1012.7,"['""""', '49.3777', '-119.5803', '""49.3777', ' -119.5803""', '""49.3777', ' -119.5803""', '""""', '""Clear""\n']"
R40009,20000414.17,Person,Fire,55.35,-127.6833,2.0,18.8,39.3,29.4,1.6,30.82,,8.1,,165.0,14.6,0.0,24.9,7.8,1015.3,"['""""', '55.35', '-127.6833', '""55.35', ' -127.6833""', '""55.35', ' -127.6833""', '""""', '""Clear""\n']"
C10501,20061008.15,Person,Fire,53.2353,-121.7247,28.0,24.2,55.5,36.9,27.0,71.21,,4.7,,,47.4,0.0,8.7,0.0,1033.8,"['""""', '53.2353', '-121.7247', '""53.2353', ' -121.7247""', '""53.2353', ' -121.7247""', '""""', '""Clear""\n']"
C40328,20100803.1309,Lightning,Fire,51.7015,-120.6139,18.8,,,,,,,,,,,0.0,,,,"['""""', '51.7015', '-120.6139', '""51.7015', ' -120.6139""', '""51.7015', ' -120.6139""', '""No data available""', '""""\n']"
R40114,20040622.12,Lightning,Fire,55.54170000000001,-128.3017,14.0,,,,,,,,,,,0.0,,,,"['""""', '55.54170000000001', '-128.3017', '""55.54170000000001', ' -128.3017""', '""55.54170000000001', ' -128.3017""', '""No data available""', '""""\n']"
R40020,20100419.09,Person,Fire,55.6306,-128.1245,7.4,,,,,,,,,,,0.0,,,,"['""""', '55.6306', '-128.1245', '""55.6306', ' -128.1245""', '""55.6306', ' -128.1245""', '""No data available""', '""""\n']"
C20005,20120407.18,Person,Fire,52.1279,-121.9151,12.2,21.2,46.2,34.3,14.6,46.41,,6.9,,87.92,25.3,0.0,14.9,21.9,1028.6,"['""""', '52.1279', '-121.9151', '""52.1279', ' -121.9151""', '""52.1279', ' -121.9151""', '""""', '""Clear""\n']"
G50229,20090717.1355,Lightning,Fire,55.2203,-126.037,5.0,,,,,,,,,,,0.0,,,,"['""""', '55.2203', '-126.037', '""55.2203', ' -126.037""', '""55.2203', ' -126.037""', '""No data available""', '""""\n']"
K70812,20010323.12,Person,Fire,50.25,-121.5667,3.0,30.3,59.1,43.1,24.0,51.58,,13.9,,185.0,26.5,0.49,8.7,1.3,1020.7,"['""""', '50.25', '-121.5667', '""50.25', ' -121.5667""', '""50.25', ' -121.5667""', '""""', '""Rain""\n']"
G60273,20180520.1527,Lightning,Fire,57.4208,-125.6843,15.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']"
V90363,20011005.133,Person,Fire,50.505,-128.10299999999998,3.5,48.3,62.3,53.6,45.4,74.92,,21.1,,213.21,43.6,0.1,16.4,31.3,1015.0,"['""Rain Showers""', '50.505', '-128.10299999999998', '""50.505', ' -128.10299999999998""', '""50.505', ' -128.10299999999998""', '""""', '""Rain', ' Partially cloudy""\n']"
N70921,20090903.1109,Lightning,Fire,49.05090000000001,-116.9968,2.0,47.9,78.2,62.1,40.4,57.31,,14.1,31.1,210.46,47.2,0.04,14.9,6.8,1015.0,"['""Thunderstorm Without Precipitation', ' Rain Showers""', '49.05090000000001', '-116.9968', '""49.05090000000001', ' -116.9968""', '""49.05090000000001', ' -116.9968""', '""""', '""Rain""\n']"
N50376,20160830.0929,Lightning,Fire,49.51150000000001,-117.6598,20.6,51.9,78.4,67.2,51.5,59.98,,8.2,23.6,127.38,,0.0,171.6,18.6,1013.0,"['""""', '49.51150000000001', '-117.6598', '""49.51150000000001', ' -117.6598""', '""49.51150000000001', ' -117.6598""', '""""', '""Clear""\n']"
