FIRE_NO,IGN_DATE,FIRE_CAUSE,FIRE_TYPE,LATITUDE,LONGITUDE,SIZE_HA,minimum temperature,maximum temperature,average temperature,dew point,relative humidity,heat index,wind speed,wind gust,wind direction,wind chill,precipitation,visibility,cloud cover,sea level pressure,weather_type
G50025,20030428.1618,Person,Duplicate,54.6524,-124.6638,30.0,23.1,37.5,28.9,9.7,46.98,,10.3,,84.35,12.7,0.0,8.7,0.0,1024.3,"['""""', '54.6524', '-124.6638', '""54.6524', ' -124.6638""', '""54.6524', ' -124.6638""', '""""', '""Clear""\n']"
C50011,20130420.1401,Person,Fire,51.99760000000001,-123.1524,2.8000000000000003,25.2,42.5,33.6,13.6,45.08,,13.4,26.5,238.75,14.0,0.0,14.9,33.0,1024.3,"['""""', '51.99760000000001', '-123.1524', '""51.99760000000001', ' -123.1524""', '""51.99760000000001', ' -123.1524""', '""""', '""Partially cloudy""\n']"
R40019,20010421.17,Person,Fire,55.2435,-127.6686,3.0,30.3,53.7,42.4,28.2,62.34,,10.3,,230.71,32.9,0.03,24.9,55.7,1014.8,"['""Precipitation In Vicinity', ' Rain Showers""', '55.2435', '-127.6686', '""55.2435', ' -127.6686""', '""55.2435', ' -127.6686""', '""""', '""Rain', ' Partially cloudy""\n']"
R40046,20170423.18,Person,Fire,55.2346,-128.04770000000002,8.1,35.6,51.7,43.0,28.3,58.56,,10.4,,216.54,38.0,0.0,84.2,35.0,1008.5,"['""""', '55.2346', '-128.04770000000002', '""55.2346', ' -128.04770000000002""', '""55.2346', ' -128.04770000000002""', '""""', '""Partially cloudy""\n']"
V30666,20180620.19,Lightning,Fire,50.0795,-122.5035,2.0,56.3,87.8,71.6,53.4,57.09,85.1,8.3,30.0,143.46,,0.0,629.4,0.0,1012.8,"['""""', '50.0795', '-122.5035', '""50.0795', ' -122.5035""', '""50.0795', ' -122.5035""', '""""', '""Clear""\n']"
K20005,20040402.09,Person,Fire,50.9437,-120.9788,32.7,28.4,59.8,42.2,18.2,41.5,,6.9,,158.86,25.4,0.02,22.8,1.7,1026.9,"['""""', '50.9437', '-120.9788', '""50.9437', ' -120.9788""', '""50.9437', ' -120.9788""', '""""', '""Rain""\n']"
G80007,20120419.163,Person,Fire,56.21590000000001,-121.4484,3.4,35.0,54.9,46.3,25.5,45.64,,11.4,,172.58,29.9,0.0,18.0,70.6,1009.2,"['""Precipitation In Vicinity', ' Rain Showers""', '56.21590000000001', '-121.4484', '""56.21590000000001', ' -121.4484""', '""56.21590000000001', ' -121.4484""', '""""', '""Partially cloudy""\n']"
N40396,20030806.14,Lightning,Fire,51.56780000000001,-118.6764,680.0,52.7,72.6,63.9,57.4,81.07,,8.0,,200.0,,0.21,9.8,38.5,1013.9,"['""Thunderstorm', ' Thunderstorm Without Precipitation', ' Rain Showers', ' Heavy Rain', ' Light Rain""', '51.56780000000001', '-118.6764', '""51.56780000000001', ' -118.6764""', '""51.56780000000001', ' -118.6764""', '""""', '""Rain', ' Partially cloudy""\n']"
G70024,20130504.14,Person,Fire,55.7849,-121.0017,52.0,51.3,74.7,63.3,34.1,34.08,,21.0,28.3,253.25,,0.0,18.1,26.9,1018.8,"['""""', '55.7849', '-121.0017', '""55.7849', ' -121.0017""', '""55.7849', ' -121.0017""', '""""', '""Partially cloudy""\n']"
C31822,20170813.2008,Lightning,Fire,52.79020000000001,-121.1755,6.0,,,,,,,,,,,0.0,,,,"['""""', '52.79020000000001', '-121.1755', '""52.79020000000001', ' -121.1755""', '""52.79020000000001', ' -121.1755""', '""No data available""', '""""\n']"
K50217,20140709.143,Person,Fire,49.0689,-119.5597,15.0,73.0,97.2,85.0,42.3,23.5,93.1,11.1,20.8,298.42,,0.0,108.6,0.0,1007.4,"['""""', '49.0689', '-119.5597', '""49.0689', ' -119.5597""', '""49.0689', ' -119.5597""', '""""', '""Clear""\n']"
G61601,20180730.103536,Unknown,Fire,56.6158,-124.28200000000001,247.0,,,,,,,,,,,0.0,,,,"['""""', '56.6158', '-124.28200000000001', '""56.6158', ' -124.28200000000001""', '""56.6158', ' -124.28200000000001""', '""No data available""', '""""\n']"
K40695,20030807.153,Lightning,Fire,50.5545,-118.2567,154.0,54.4,76.6,65.9,55.2,70.45,,11.4,,185.46,,0.02,8.7,1.3,1016.2,"['""""', '50.5545', '-118.2567', '""50.5545', ' -118.2567""', '""50.5545', ' -118.2567""', '""""', '""Rain""\n']"
K10409,20040725.123,Lightning,Fire,52.5228,-119.5847,360.0,48.1,78.9,62.9,55.8,79.91,,5.7,,163.18,,0.19,14.9,18.9,1015.0,"['""Precipitation In Vicinity', ' Thunderstorm', ' Rain Showers""', '52.5228', '-119.5847', '""52.5228', ' -119.5847""', '""52.5228', ' -119.5847""', '""""', '""Rain""\n']"
K60606,20110906.12,Person,Fire,50.29380000000001,-121.1768,2.9,53.4,89.4,72.6,43.6,39.07,85.9,19.4,32.2,170.09,,0.02,8.7,0.0,1019.2,"['""""', '50.29380000000001', '-121.1768', '""50.29380000000001', ' -121.1768""', '""50.29380000000001', ' -121.1768""', '""""', '""Rain""\n']"
K50239,20000722.0532,Lightning,Fire,49.1642,-120.2525,311.0,54.5,79.7,65.2,55.0,72.95,,11.5,,209.25,,0.41,,0.0,1014.2,"['""""', '49.1642', '-120.2525', '""49.1642', ' -120.2525""', '""49.1642', ' -120.2525""', '""""', '""Rain""\n']"
N70493,20030806.2207,Lightning,Fire,50.7417,-117.0497,2009.0,52.3,78.5,67.0,54.7,67.31,,11.4,,194.96,,0.0,29.8,24.9,1013.2,"['""Precipitation In Vicinity', ' Thunderstorm', ' Thunderstorm Without Precipitation', ' Rain Showers', ' Fog""', '50.7417', '-117.0497', '""50.7417', ' -117.0497""', '""50.7417', ' -117.0497""', '""""', '""Clear""\n']"
G40152,20000627.18,Lightning,Fire,53.804,-124.6346,2.0,48.3,84.8,66.5,43.0,47.28,81.8,6.9,,145.24,,0.2,8.7,0.0,1015.6,"['""""', '53.804', '-124.6346', '""53.804', ' -124.6346""', '""53.804', ' -124.6346""', '""""', '""Rain""\n']"
G90095,20110805.1827,Lightning,Fire,59.50530000000001,-120.3792,167.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']"
K70033,20150503.22,Person,Fire,50.5337,-122.1563,130.0,39.3,72.0,56.3,28.7,40.22,,9.9,25.3,197.0,43.5,0.0,96.8,3.5,1012.1,"['""""', '50.5337', '-122.1563', '""50.5337', ' -122.1563""', '""50.5337', ' -122.1563""', '""""', '""Clear""\n']"
G90166,20120706.123,Lightning,Fire,58.8849,-121.2373,7.5,53.6,80.6,67.7,46.5,51.28,79.3,5.8,,44.78,,0.0,25.2,46.8,1015.6,"['""""', '58.8849', '-121.2373', '""58.8849', ' -121.2373""', '""58.8849', ' -121.2373""', '""""', '""Partially cloudy""\n']"
C10575,20090821.0043,Lightning,Fire,52.9833,-125.322,2.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']"
K30310,20020817.18,Person,Fire,50.6401,-119.1678,5.0,49.9,76.8,63.8,49.1,61.35,,12.1,,217.33,,0.03,10.6,0.7,1014.9,"['""""', '50.6401', '-119.1678', '""50.6401', ' -119.1678""', '""50.6401', ' -119.1678""', '""""', '""Rain""\n']"
C50137,20040620.1515,Lightning,Fire,52.5013,-125.1585,5.0,,,,,,,,,,,0.0,,,,"['""""', '52.5013', '-125.1585', '""52.5013', ' -125.1585""', '""52.5013', ' -125.1585""', '""No data available""', '""""\n']"
N50320,20140802.1715,Lightning,Fire,49.51450000000001,-117.5662,73.0,56.5,90.7,71.5,55.9,62.93,88.8,7.9,29.9,88.5,,0.0,86.9,16.8,1016.4,"['""Precipitation In Vicinity', ' Thunderstorm Without Precipitation""', '49.51450000000001', '-117.5662', '""49.51450000000001', ' -117.5662""', '""49.51450000000001', ' -117.5662""', '""""', '""Clear""\n']"
G90211,20150529.16,Person,Fire,58.9878,-124.9953,223.7,,,,,,,,,,,0.0,,,,"['""""', '58.9878', '-124.9953', '""58.9878', ' -124.9953""', '""58.9878', ' -124.9953""', '""No data available""', '""""\n']"
G10124,20100518.1536,Lightning,Fire,54.0622,-122.0464,2.2,48.0,68.0,56.7,48.9,77.24,,11.4,46.1,135.5,45.0,0.67,8.5,82.5,1006.1,"['""Mist', ' Rain', ' Fog', ' Light Rain""', '54.0622', '-122.0464', '""54.0622', ' -122.0464""', '""54.0622', ' -122.0464""', '""""', '""Rain', ' Overcast""\n']"
K30609,20030810.1903,Lightning,Fire,50.9412,-118.5853,89.0,54.8,84.4,68.4,56.3,69.05,82.7,16.0,,192.96,,0.04,8.7,14.6,1015.5,"['""Rain', ' Heavy Rain', ' Light Rain""', '50.9412', '-118.5853', '""50.9412', ' -118.5853""', '""50.9412', ' -118.5853""', '""""', '""Rain""\n']"
K51242,20180717.1856,Lightning,Fire,49.7537,-119.6889,1370.3,64.2,94.2,79.9,45.1,30.83,90.0,8.1,21.9,187.5,,0.09,171.8,1.3,1011.6,"['""Lightning Without Thunder', ' Thunderstorm""', '49.7537', '-119.6889', '""49.7537', ' -119.6889""', '""49.7537', ' -119.6889""', '""""', '""Rain""\n']"
G50657,20180620.1738,Lightning,Fire,54.981,-125.2516,3.0,49.2,86.1,66.9,54.1,67.95,83.4,10.3,23.0,251.0,,0.22,629.5,0.0,1013.2,"['""""', '54.981', '-125.2516', '""54.981', ' -125.2516""', '""54.981', ' -125.2516""', '""""', '""Rain""\n']"
G80171,20030614.0409,Lightning,Fire,57.57530000000001,-120.6442,7.8,,,,,,,,,,,0.0,,,,"['""""', '57.57530000000001', '-120.6442', '""57.57530000000001', ' -120.6442""', '""57.57530000000001', ' -120.6442""', '""No data available""', '""""\n']"
N10482,20150721.11,Person,Fire,49.0664,-115.5768,110.0,56.8,85.1,72.6,36.6,28.68,82.0,12.2,24.4,177.54,,0.0,39.0,15.5,1005.6,"['""""', '49.0664', '-115.5768', '""49.0664', ' -115.5768""', '""49.0664', ' -115.5768""', '""""', '""Clear""\n']"
N50435,20170626.145,Lightning,Fire,49.8891,-117.8282,27.8,58.4,82.7,70.1,50.0,50.57,81.5,9.2,20.8,207.46,,0.03,217.8,4.8,1006.7,"['""Thunderstorm Without Precipitation""', '49.8891', '-117.8282', '""49.8891', ' -117.8282""', '""49.8891', ' -117.8282""', '""""', '""Rain""\n']"
K20007,20100405.1,Person,Fire,50.8351,-121.3635,4.6000000000000005,32.1,50.0,42.5,31.7,65.43,,14.3,27.1,147.04,28.6,0.02,8.7,5.1,1006.6,"['""Light Rain""', '50.8351', '-121.3635', '""50.8351', ' -121.3635""', '""50.8351', ' -121.3635""', '""""', '""Rain""\n']"
G80126,20010622.1406,Lightning,Nuisance Fire,56.8087,-120.774,32.0,49.7,68.1,58.9,40.9,56.82,,18.3,,256.84,,0.0,14.9,50.9,1009.9,"['""""', '56.8087', '-120.774', '""56.8087', ' -120.774""', '""56.8087', ' -120.774""', '""""', '""Partially cloudy""\n']"
N20534,20100826.12,Person,Fire,50.95,-116.53,680.0,42.1,81.4,57.8,41.7,63.64,79.5,14.1,31.1,197.71,36.5,0.88,26.8,22.7,1002.1,"['""Precipitation In Vicinity', ' Rain Showers', ' Fog""', '50.95', '-116.53', '""50.95', ' -116.53""', '""50.95', ' -116.53""', '""""', '""Rain""\n']"
N40371,20060724.162,Lightning,Fire,52.0777,-118.1767,10.0,50.1,90.6,71.2,52.7,59.43,88.1,12.6,21.9,,,0.0,14.9,11.6,1011.0,"['""Precipitation In Vicinity', ' Rain Showers""', '52.0777', '-118.1767', '""52.0777', ' -118.1767""', '""52.0777', ' -118.1767""', '""""', '""Clear""\n']"
G50191,20190508.120032,Person,Fire,55.4847,-125.9637,2.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']"
K51550,20170804.1535,Person,Fire,49.7539,-119.8128,2.5,60.3,90.6,76.2,39.8,29.86,86.5,7.3,,231.54,,0.0,174.6,0.0,1011.1,"['""Smoke Or Haze""', '49.7539', '-119.8128', '""49.7539', ' -119.8128""', '""49.7539', ' -119.8128""', '""""', '""Clear""\n']"
N70542,20150620.2021,Lightning,Fire,50.4178,-116.9491,13.0,49.8,70.4,58.1,47.3,70.99,,6.9,24.2,246.67,,0.02,630.5,0.0,1014.9,"['""""', '50.4178', '-116.9491', '""50.4178', ' -116.9491""', '""50.4178', ' -116.9491""', '""""', '""Rain""\n']"
N52867,20180811.1202,Lightning,Fire,50.1488,-118.1704,15.0,58.9,76.1,68.1,53.6,61.23,,12.2,29.4,234.38,,0.25,628.1,0.0,1011.1,"['""""', '50.1488', '-118.1704', '""50.1488', ' -118.1704""', '""50.1488', ' -118.1704""', '""""', '""Rain""\n']"
C50347,20060805.112999998,Person,Fire,51.4493,-123.9853,3.1,35.3,77.5,58.1,38.6,53.96,,10.7,22.6,,,0.0,,0.0,1017.8,"['""""', '51.4493', '-123.9853', '""51.4493', ' -123.9853""', '""51.4493', ' -123.9853""', '""""', '""Clear""\n']"
K50519,20110831.1352,Person,Fire,49.0813,-119.5156,7.7,46.5,77.0,64.0,37.2,42.63,,14.6,25.3,271.54,,0.0,9.9,2.5,1012.6,"['""""', '49.0813', '-119.5156', '""49.0813', ' -119.5156""', '""49.0813', ' -119.5156""', '""""', '""Clear""\n']"
G80286,20100717.2119,Lightning,Fire,56.3196,-122.0384,5.7,48.2,73.4,64.8,46.8,54.98,,9.2,,153.85,,0.0,34.8,57.2,1016.1,"['""Thunderstorm Without Precipitation""', '56.3196', '-122.0384', '""56.3196', ' -122.0384""', '""56.3196', ' -122.0384""', '""""', '""Partially cloudy""\n']"
K10541,20040817.1802,Lightning,Fire,52.2139,-119.2353,5.0,51.9,87.9,66.8,56.6,75.24,85.9,10.3,,104.36,,0.0,12.6,12.4,1017.1,"['""Thunderstorm Without Precipitation', ' Fog""', '52.2139', '-119.2353', '""52.2139', ' -119.2353""', '""52.2139', ' -119.2353""', '""""', '""Clear""\n']"
G31313,20180718.0224,Lightning,Fire,52.739,-119.5326,334.0,51.9,87.8,69.7,52.9,59.89,86.6,8.1,20.0,214.33,,0.0,110.5,13.8,1013.2,"['""""', '52.739', '-119.5326', '""52.739', ' -119.5326""', '""52.739', ' -119.5326""', '""""', '""Clear""\n']"
R50028,20160512.16,Person,Fire,54.40940000000001,-128.8272,8.0,50.0,69.8,60.4,27.0,29.13,,17.2,28.9,72.86,,0.0,19.0,24.5,1023.5,"['""""', '54.40940000000001', '-128.8272', '""54.40940000000001', ' -128.8272""', '""54.40940000000001', ' -128.8272""', '""""', '""Clear""\n']"
G80104,20000415.12,Person,Fire,56.2197,-121.9461,7.0,10.6,34.5,24.8,13.5,62.33,,6.5,,122.71,12.3,0.0,21.2,22.9,1015.4,"['""""', '56.2197', '-121.9461', '""56.2197', ' -121.9461""', '""56.2197', ' -121.9461""', '""""', '""Clear""\n']"
G60252,20090712.1323,Lightning,Fire,57.7807,-125.3209,8.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']"
C50096,20100708.153,Lightning,Fire,53.0078,-126.2178,4274.0,55.4,95.0,79.4,55.0,49.28,92.7,13.9,21.9,140.0,,0.0,14.9,30.6,1015.5,"['""""', '53.0078', '-126.2178', '""53.0078', ' -126.2178""', '""53.0078', ' -126.2178""', '""""', '""Partially cloudy""\n']"
G70191,20060519.1,Person,Fire,56.04660000000001,-120.6362,2.6,50.0,74.0,62.0,41.6,50.86,,21.5,33.9,,,0.07,15.5,86.8,1010.5,"['""Precipitation In Vicinity', ' Thunderstorm', ' Rain Showers', ' Sky Coverage Decreasing', ' Sky Coverage Increasing""', '56.04660000000001', '-120.6362', '""56.04660000000001', ' -120.6362""', '""56.04660000000001', ' -120.6362""', '""""', '""Rain', ' Overcast""\n']"
G80004,20060406.18,Person,Fire,56.2922,-121.1037,3.0,38.3,60.2,48.8,25.5,41.41,,16.3,,,33.6,0.0,15.9,52.6,1010.5,"['""""', '56.2922', '-121.1037', '""56.2922', ' -121.1037""', '""56.2922', ' -121.1037""', '""""', '""Partially cloudy""\n']"
V80518,20161012.09,Person,Fire,50.3739,-126.4086,27.0,40.1,51.3,48.1,41.8,79.35,,21.6,36.9,118.96,34.0,0.43,16.6,40.2,1007.5,"['""Rain Showers""', '50.3739', '-126.4086', '""50.3739', ' -126.4086""', '""50.3739', ' -126.4086""', '""""', '""Rain', ' Partially cloudy""\n']"
C50029,20040422.19,Person,Fire,52.4725,-125.3388,8.0,,,,,,,,,,,0.0,,,,"['""""', '52.4725', '-125.3388', '""52.4725', ' -125.3388""', '""52.4725', ' -125.3388""', '""No data available""', '""""\n']"
N60001,20120407.12,Person,Fire,49.18850000000001,-118.9803,3.7,29.5,56.1,42.0,23.2,50.52,,5.6,,127.75,25.2,0.0,14.9,9.7,1027.7,"['""""', '49.18850000000001', '-118.9803', '""49.18850000000001', ' -118.9803""', '""49.18850000000001', ' -118.9803""', '""""', '""Clear""\n']"
V31127,20090730.1111,Lightning,Fire,50.1152,-122.9108,57.0,57.4,94.5,73.3,56.6,62.74,92.3,9.9,24.4,124.71,,0.2,,0.0,1010.3,"['""""', '50.1152', '-122.9108', '""50.1152', ' -122.9108""', '""50.1152', ' -122.9108""', '""""', '""Rain""\n']"
C10307,20100801.1406,Lightning,Fire,53.1974,-124.0978,6.0,,,,,,,,,,,0.0,,,,"['""""', '53.1974', '-124.0978', '""53.1974', ' -124.0978""', '""53.1974', ' -124.0978""', '""No data available""', '""""\n']"
G80035,20060407.12,Person,Fire,56.6265,-121.9382,27.4,,,,,,,,,,,0.0,,,,"['""""', '56.6265', '-121.9382', '""56.6265', ' -121.9382""', '""56.6265', ' -121.9382""', '""No data available""', '""""\n']"
G70110,20150524.1345,Lightning,Fire,55.2882,-121.7375,6.5,48.2,80.6,67.7,42.3,43.73,78.8,11.4,30.0,101.54,43.3,0.0,28.7,37.6,1014.0,"['""""', '55.2882', '-121.7375', '""55.2882', ' -121.7375""', '""55.2882', ' -121.7375""', '""""', '""Partially cloudy""\n']"
N70653,20150814.2007,Lightning,Fire,50.3543,-116.8588,78.4,56.3,81.2,68.3,54.3,64.09,80.6,11.4,21.9,210.83,,0.1,627.1,0.0,1009.5,"['""""', '50.3543', '-116.8588', '""50.3543', ' -116.8588""', '""50.3543', ' -116.8588""', '""""', '""Rain""\n']"
G10025,20040412.18,Person,Fire,53.953,-122.6822,2.1,38.9,63.2,51.0,34.2,54.59,,13.9,,258.5,32.7,0.0,33.0,73.6,1011.9,"['""Rain Showers', ' Sky Coverage Decreasing""', '53.953', '-122.6822', '""53.953', ' -122.6822""', '""53.953', ' -122.6822""', '""""', '""Partially cloudy""\n']"
N10277,20140730.0112,Lightning,Fire,49.70070000000001,-115.4505,676.0,52.9,90.0,71.3,45.7,44.61,86.1,9.8,25.3,171.13,,0.05,53.3,17.6,1017.6,"['""Thunderstorm Without Precipitation', ' Rain Showers', ' Sky Coverage Increasing""', '49.70070000000001', '-115.4505', '""49.70070000000001', ' -115.4505""', '""49.70070000000001', ' -115.4505""', '""""', '""Rain""\n']"
G90167,20120706.1233,Lightning,Fire,58.8674,-121.2048,11.0,53.6,80.6,67.7,46.5,51.28,79.3,5.8,,44.78,,0.0,25.2,46.8,1015.6,"['""""', '58.8674', '-121.2048', '""58.8674', ' -121.2048""', '""58.8674', ' -121.2048""', '""""', '""Partially cloudy""\n']"
G90404,20120808.1627,Lightning,Fire,59.3815,-128.205,219.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']"
K50120,20000721.143,Person,Fire,49.2237,-119.5378,3.0,62.8,94.9,77.9,55.6,50.43,92.5,6.9,,218.25,,0.04,,0.0,1010.6,"['""""', '49.2237', '-119.5378', '""49.2237', ' -119.5378""', '""49.2237', ' -119.5378""', '""""', '""Rain""\n']"
K50673,20150817.17,Person,Fire,49.12410000000001,-119.5598,2.0,57.4,87.8,72.2,47.5,46.3,84.4,5.8,,142.13,,0.0,156.9,0.6,1016.3,"['""Smoke Or Haze""', '49.12410000000001', '-119.5598', '""49.12410000000001', ' -119.5598""', '""49.12410000000001', ' -119.5598""', '""""', '""Clear""\n']"
G41313,20190808.1058,Person,Fire,54.3248,-124.9638,2.0,51.4,75.0,61.4,51.5,71.84,,5.7,,158.29,,0.02,181.8,5.5,1013.9,"['""Light Rain""', '54.3248', '-124.9638', '""54.3248', ' -124.9638""', '""54.3248', ' -124.9638""', '""""', '""Rain""\n']"
K60152,20190501.12,Unknown,Fire,50.1317,-120.8596,17.1,40.8,59.4,50.5,26.9,41.26,,13.8,30.0,218.0,38.4,0.0,138.5,0.2,1012.3,"['""""', '50.1317', '-120.8596', '""50.1317', ' -120.8596""', '""50.1317', ' -120.8596""', '""""', '""Clear""\n']"
G62615,20180813.110803,Unknown,Fire,57.3504,-125.3486,121.0,,,,,,,,,,,0.0,,,,"['""""', '57.3504', '-125.3486', '""57.3504', ' -125.3486""', '""57.3504', ' -125.3486""', '""No data available""', '""""\n']"
N12018,20170901.04,Lightning,Fire,49.0942,-114.703,98.0,41.6,80.4,64.5,38.5,42.55,78.9,15.3,28.8,251.13,46.6,0.0,632.6,0.0,1017.9,"['""""', '49.0942', '-114.703', '""49.0942', ' -114.703""', '""49.0942', ' -114.703""', '""""', '""Clear""\n']"
N72671,20180812.0519,Lightning,Fire,50.7637,-117.2014,172.0,50.1,60.6,55.2,51.1,86.33,,7.8,18.3,94.54,,0.05,96.6,27.1,1021.4,"['""Mist', ' Light Rain', ' Smoke Or Haze""', '50.7637', '-117.2014', '""50.7637', ' -117.2014""', '""50.7637', ' -117.2014""', '""""', '""Rain', ' Partially cloudy""\n']"
K60004,20050408.09,Person,Fire,50.1982,-120.8532,28.9,33.9,57.3,47.3,27.1,48.89,,21.9,38.0,175.5,31.8,0.02,8.7,37.0,1008.3,"['""""', '50.1982', '-120.8532', '""50.1982', ' -120.8532""', '""50.1982', ' -120.8532""', '""""', '""Rain', ' Partially cloudy""\n']"
G80883,20180621.1542,Lightning,Fire,57.9106,-120.9547,318.0,,,,,,,,,,,0.0,,,,"['""""', '57.9106', '-120.9547', '""57.9106', ' -120.9547""', '""57.9106', ' -120.9547""', '""No data available""', '""""\n']"
V82784,20180810.19,Lightning,Fire,50.1586,-127.1465,104.0,56.0,70.0,60.4,56.2,86.71,,17.7,31.1,153.46,,0.07,87.3,32.6,1013.4,"['""Mist', ' Light Drizzle', ' Thunderstorm', ' Thunderstorm Without Precipitation', ' Fog""', '50.1586', '-127.1465', '""50.1586', ' -127.1465""', '""50.1586', ' -127.1465""', '""""', '""Rain', ' Partially cloudy""\n']"
K10434,20040724.2147,Lightning,Fire,52.3327,-119.9387,70.0,51.9,87.7,68.7,56.8,70.77,85.3,2.2,,121.58,,0.0,14.9,13.4,1015.6,"['""""', '52.3327', '-119.9387', '""52.3327', ' -119.9387""', '""52.3327', ' -119.9387""', '""""', '""Clear""\n']"
G60533,20180615.1,Person,Fire,55.11380000000001,-124.03200000000001,2.0,39.1,62.6,53.1,43.4,71.82,,10.0,20.8,225.95,,0.02,27.8,23.4,1017.6,"['""Rain', ' Light Rain""', '55.11380000000001', '-124.03200000000001', '""55.11380000000001', ' -124.03200000000001""', '""55.11380000000001', ' -124.03200000000001""', '""""', '""Rain""\n']"
R10065,20040620.1718,Lightning,Fire,53.1,-126.6333,1400.0,64.5,89.7,79.9,54.7,44.76,87.1,13.9,,193.75,,0.0,14.9,61.8,1017.3,"['""Thunderstorm Without Precipitation""', '53.1', '-126.6333', '""53.1', ' -126.6333""', '""53.1', ' -126.6333""', '""""', '""Partially cloudy""\n']"
C20655,20090927.1302,Person,Fire,51.92590000000001,-122.5018,6.9,30.3,53.7,45.6,26.3,47.14,,11.4,,134.12,39.3,0.0,14.9,80.0,1018.2,"['""""', '51.92590000000001', '-122.5018', '""51.92590000000001', ' -122.5018""', '""51.92590000000001', ' -122.5018""', '""""', '""Overcast""\n']"
K20132,20020714.18,Person,Fire,50.76750000000001,-121.2998,2.0,52.5,84.3,68.8,47.7,49.7,82.1,13.8,,239.58,,0.04,14.6,20.3,1011.6,"['""Light Rain', ' Sky Unchanged""', '50.76750000000001', '-121.2998', '""50.76750000000001', ' -121.2998""', '""50.76750000000001', ' -121.2998""', '""""', '""Rain""\n']"
N40274,20100727.19,Lightning,Fire,51.0838,-116.3204,82.2,53.8,82.8,67.0,49.9,58.58,80.8,9.5,20.8,131.63,,0.28,29.8,13.8,1014.7,"['""""', '51.0838', '-116.3204', '""51.0838', ' -116.3204""', '""51.0838', ' -116.3204""', '""""', '""Rain""\n']"
K10213,20030722.14,Person,Fire,52.2541,-119.1153,52.3,50.1,91.7,73.1,44.4,46.4,87.5,8.1,,151.11,,0.0,14.9,10.0,1014.7,"['""""', '52.2541', '-119.1153', '""52.2541', ' -119.1153""', '""52.2541', ' -119.1153""', '""""', '""Clear""\n']"
K50014,20140406.14,Person,Fire,49.40790000000001,-119.8244,3.8,42.2,59.0,51.1,28.7,43.78,,8.9,23.1,236.88,40.4,0.0,634.8,0.0,1021.6,"['""""', '49.40790000000001', '-119.8244', '""49.40790000000001', ' -119.8244""', '""49.40790000000001', ' -119.8244""', '""""', '""Clear""\n']"
K60482,20020824.1652,Lightning,Fire,49.0523,-120.6367,13.0,56.8,80.7,67.8,52.6,60.74,81.2,19.7,,210.92,,0.02,13.2,11.9,1012.2,"['""Fog""', '49.0523', '-120.6367', '""49.0523', ' -120.6367""', '""49.0523', ' -120.6367""', '""""', '""Rain""\n']"
G90441,20040724.2151,Lightning,Fire,59.84,-120.0083,2299.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']"
C50033,20020423.18,Person,Fire,52.3918,-125.2282,3.0,,,,,,,,,,,0.0,,,,"['""""', '52.3918', '-125.2282', '""52.3918', ' -125.2282""', '""52.3918', ' -125.2282""', '""No data available""', '""""\n']"
K50269,20100728.222,Lightning,Fire,49.84540000000001,-119.0498,10.0,63.6,94.2,80.1,49.3,37.46,90.6,8.6,23.0,180.21,,0.0,8.7,25.6,1011.6,"['""""', '49.84540000000001', '-119.0498', '""49.84540000000001', ' -119.0498""', '""49.84540000000001', ' -119.0498""', '""""', '""Partially cloudy""\n']"
R90035,20100529.1938,Lightning,Fire,59.041000000000004,-131.4649,1425.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']"
K50600,20140915.1455,Person,Fire,49.4609,-119.7278,16.0,51.3,76.7,62.1,35.6,38.3,,9.3,,201.08,,0.0,629.8,0.0,1013.6,"['""""', '49.4609', '-119.7278', '""49.4609', ' -119.7278""', '""49.4609', ' -119.7278""', '""""', '""Clear""\n']"
