FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE,OBJECTID,AREA_SQM,FEAT_LEN,X,Y
G90040,,1990,Lightning,1990-G90040,558.7,LFDB,,20070517130641,19900731,digitised,JA70003000,,1704893,5587287.2959,16389.283199999998,,
G90060,,1990,Lightning,1990-G90060,31.6,Buffered_Point,,20070517130646,19900813,buffered_point,JA70003000,,1704894,316922.9512,2150.8141,,
G90064,,1990,Lightning,1990-G90064,10.3,Buffered_Point,,20070517130646,19900828,buffered_point,JA70003000,,1704895,103721.4338,1235.0847,,
G90066,,1990,Person,1990-G90066,3741.3,LFDB,,20070517130642,19900918,digitised,JA70003000,,1704896,37413731.0048,38266.6323,,
G90072,,1990,Person,1990-G90072,238.9,LFDB,,20070517130642,19900922,digitised,JA70003000,,1704909,2389039.473,7617.8373,,
G90072,,1990,Person,1990-G90072,18.7,LFDB,,20070517130642,19900922,digitised,JA70003000,,1704910,187340.3538,1709.3686,,
G90072,,1990,Person,1990-G90072,221.70000000000002,LFDB,,20070517130642,19900922,digitised,JA70003000,,1704911,2217957.8043,10041.4704,,
G90072,,1990,Person,1990-G90072,5.9,LFDB,,20070517130642,19900922,digitised,JA70003000,,1704912,59152.568100000004,896.201,,
C50039,,1989,Person,1989-C50039,25,inventory,,20070517130642,19890605,digitised,JA70003000,,1704689,250826.61000000002,2786.2958000000003,,
G10027,,1989,Person,1989-G10027,228,Buffered_Point,,20070517130645,19890530,buffered_point,JA70003000,,1704690,2280027.7408,5655.042100000001,,
G10033,,1989,Person,1989-G10033,145.3,Buffered_Point,,20070517130645,19890606,buffered_point,JA70003000,,1704691,1453604.5138,4517.8982000000005,,
G10243,,1989,Person,1989-G10243,22.900000000000002,inventory,,20070517130642,19890912,digitised,JA70003000,,1704692,229419.779,2484.1082,,
G70004,,1987,Person,1987-G70004,71.10000000000001,mylars,,20070517130642,19870427,digitised,JA70003000,,1704498,711561.2535,4219.2998,,
G70005,,1987,Person,1987-G70005,45.4,mylars,,20070517130642,19870427,digitised,JA70003000,,1704499,454848.469,3423.6656000000003,,
G70010,,1987,Person,1987-G70010,448.90000000000003,LFDB,,20070517130642,19870506,digitised,JA70003000,,1704500,4489431.4512,19117.3728,,
G70011,,1987,Person,1987-G70011,716.1,LFDB,,20070517130642,19870507,digitised,JA70003000,,1704501,7161898.9316,14707.9496,,
K20044,,1987,Person,1987-K20044,50.4,Buffered_Point,,20070517130645,19870509,buffered_point,JA70003000,,1704521,504864.4577,2621.2407000000003,,
K20104,,1987,Person,1987-K20104,145.5,mylars,,20070517130642,19870628,digitised,JA70003000,,1704522,1455640.8171,5478.401400000001,,
K20146,,1987,Person,1987-K20146,15.700000000000001,mylars,,20070517130642,19870728,digitised,JA70003000,,1704523,157401.97580000001,1477.9082,,
K20228,,1987,Person,1987-K20228,247.6,mylars,,20070517130642,19871011,digitised,JA70003000,,1704524,2476469.3139,7581.511,,
K50053,,1987,Person,1987-K50053,2123.5,LFDB,,20070517130642,19870628,digitised,JA70003000,,1704525,21235992.5272,20847.5407,,
K50059,,1987,Person,1987-K50059,18.7,inventory,,20070517130642,19870714,digitised,JA70003000,,1704526,187277.2913,1968.9066,,
R40024,,1985,Person,1985-R40024,104.4,mylars,,20070517130643,19850709,digitised,JA70003000,,1704252,1044741.3677,4659.6728,,
R50048,,1985,Person,1985-R50048,80.8,mylars,,20070517130643,19850801,digitised,JA70003000,,1704253,808028.9287,3439.2183,,
R70005,,1985,Person,1985-R70005,22.400000000000002,Buffered_Point,,20070517130645,19850909,buffered_point,JA70003000,,1704254,224077.764,1759.8485,,
R90003,,1985,Person,1985-R90003,7684.900000000001,LFDB,,20070517130643,19850516,digitised,JA70003000,,1704255,76849670.5665,40786.0696,,
R90007,,1985,Person,1985-R90007,23.2,mylars,,20070517130643,19850517,digitised,JA70003000,,1704256,232618.2294,2472.0661,,
R90012,,1985,Person,1985-R90012,162.3,mylars,,20070517130643,19850618,digitised,JA70003000,,1704257,1623495.1412,6449.7136,,
