,IGN_DATE,FIRE_CAUSE,FIRE_TYPE,LATITUDE,LONGITUDE,SIZE_HA
V10645,20120903.1305,Person,Nuisance Fire,49.0841,-121.743,0.0
G80079,20170504.183,Unknown,Smoke Chase,56.9222,-122.0471,0.0
V70281,20130724.2245,Person,Nuisance Fire,49.4452,-125.0963,0.0
V70439,20110727.1702,Person,Nuisance Fire,49.195,-124.136,0.0
V10810,20090720.1527,Person,Nuisance Fire,49.4571,-121.8559,0.0
R50138,20100729.1858,Lightning,Duplicate,54.9148,-128.9665,0.0
V80608,20090705.2032,Lightning,Nuisance Fire,50.05,-125.33,0.0
V70733,20110824.1339,Person,Nuisance Fire,49.3147,-124.345,0.0
V10455,20130804.1603,Person,Nuisance Fire,53.97020000000001,-131.8719,0.0
V70933,20090725.1334,Person,Nuisance Fire,49.1935,-124.1316,0.0
V50408,20110724.1331,Person,Nuisance Fire,49.90490000000001,-124.5194,0.0
V10723,20110822.1439,Person,Nuisance Fire,49.6321,-121.9686,0.0
V10454,20180531.1743,Person,Nuisance Fire,49.3792,-121.3351,0.0
V10215,20140713.203,Person,Nuisance Fire,49.52090000000001,-121.7677,0.0
V31255,20100910.1223,Person,Nuisance Fire,49.7152,-123.0566,0.0
V11212,20100905.1433,Person,Nuisance Fire,49.5745,-121.8187,0.0
V10228,20100627.1404,Person,Nuisance Fire,49.0998,-121.6656,0.0
V10431,20110726.02,Person,Nuisance Fire,49.57550000000001,-121.1813,0.0
V10194,20100620.1908,Person,Nuisance Fire,49.98540000000001,-121.7619,0.0
V50451,20100717.2251,Person,Nuisance Fire,50.0637,-124.9903,0.0
N60425,20140810.1505,Person,Nuisance Fire,49.0409,-118.2053,0.0
V10794,20120916.1609,Person,Nuisance Fire,49.5186,-121.7675,0.0
V10425,20100715.1607,Person,Nuisance Fire,49.0641,-122.292,0.0
V70067,20110523.1505,Person,Nuisance Fire,49.3577,-124.5513,0.0
V60541,20090701.2114,Person,Nuisance Fire,48.66260000000001,-123.702,0.0
V61242,20100908.0221,Person,Nuisance Fire,48.83900000000001,-123.8249,0.0
V90659,20080910.1343,Person,Nuisance Fire,50.5,-127.3667,0.0
V10113,20130630.1547,Person,Nuisance Fire,49.1249,-121.584,0.0
V10921,20090724.2224,Person,Nuisance Fire,49.10740000000001,-121.6388,0.0
K21010,20010707.13,Person,Nuisance Fire,50.5667,-120.1667,0.0
C10188,20180514.1149,Unknown,Nuisance Fire,52.8584,-122.98299999999999,0.0
V30934,20121008.1906,Person,Nuisance Fire,50.0647,-123.1129,0.0
V80284,20130725.2232,Person,Nuisance Fire,49.6414,-125.0854,0.0
V30325,20100705.1841,Person,Nuisance Fire,50.00380000000001,-123.1106,0.0
V10318,20160806.1253,Person,Nuisance Fire,49.071999999999996,-121.8428,0.0
V10152,20120715.144,Lightning,Nuisance Fire,49.5726,-121.8148,0.0
V80416,20110724.152,Person,Nuisance Fire,50.05,-126.1,0.0
V10272,20100703.18,Person,Nuisance Fire,49.13630000000001,-121.1682,0.0
V50762,20110828.1306,Person,Nuisance Fire,49.9223,-124.6613,0.0
R20259,20130915.1746,Lightning,Nuisance Fire,54.3385,-126.4012,0.0
G80121,20000604.1335,Person,Smoke Chase,57.41670000000001,-122.75,0.0
V10428,20130803.2111,Person,Nuisance Fire,49.4335,-121.8417,0.0
V50824,20100803.2046,Person,Nuisance Fire,49.9524,-124.6845,0.0
G90243,20000729.18,Person,Nuisance Fire,58.67,-124.55,0.0
V10182,20160703.1704,Person,Nuisance Fire,49.5945,-121.8267,0.0
V30289,20150706.1306,Person,Nuisance Fire,50.1353,-122.9527,0.0
V10051,20140519.1833,Person,Nuisance Fire,49.6649,-121.8593,0.0
V31302,20090802.1148,Person,Nuisance Fire,49.6906,-123.1203,0.0
V10268,20090607.1616,Person,Nuisance Fire,49.4335,-121.8417,0.0
V10208,20070715.1248,Person,Nuisance Fire,49.2347,-121.9048,0.0
V81732,20090905.1712,Person,Nuisance Fire,50.1206,-125.2371,0.0
V70646,20080907.172,Person,Nuisance Fire,49.3311,-124.4958,0.0
V71445,20090809.1828,Person,Nuisance Fire,49.3248,-124.9092,0.0
V50570,20080818.1955,Lightning,Nuisance Fire,50.3828,-124.6074,0.0
V11304,20100922.1436,Person,Nuisance Fire,49.0739,-122.5827,0.0
V50076,20100522.1714,Person,Nuisance Fire,49.8065,-124.4771,0.0
V30222,20160724.1345,Person,Nuisance Fire,50.1242,-123.3988,0.0
V70651,20120903.1414,Person,Nuisance Fire,49.13330000000001,-124.8667,0.0
V11929,20170828.1637,Person,Nuisance Fire,49.5961,-121.9296,0.0
V50573,20080819.1201,Person,Nuisance Fire,49.7118,-123.9698,0.0
V10697,20110821.1432,Person,Nuisance Fire,49.5193,-121.7678,0.0
V10361,20070818.1057,Person,Nuisance Fire,49.6135,-121.0461,0.0
V10192,20100620.1722,Person,Nuisance Fire,49.4592,-121.85700000000001,0.0
V10079,20110523.1959,Person,Nuisance Fire,49.1032,-121.1513,0.0
V10442,20100717.1429,Person,Nuisance Fire,49.5111,-121.7674,0.0
V70574,20130813.205,Person,Nuisance Fire,49.2915,-124.6549,0.0
V10300,20000821.0932,Person,Nuisance Fire,49.3179,-121.22399999999999,0.0
V10041,20150517.1547,Person,Nuisance Fire,49.5765,-121.8225,0.0
V70799,20110828.2015,Person,Nuisance Fire,49.4116,-125.0876,0.0
V10966,20110911.1336,Person,Nuisance Fire,49.52070000000001,-121.7679,0.0
V70023,20130508.1109,Person,Nuisance Fire,49.1326,-123.9487,0.0
V30782,20110828.1551,Person,Nuisance Fire,50.2472,-123.5795,0.0
V11629,20090824.0951,Lightning,Duplicate,49.04960000000001,-121.1309,0.0
V10388,20080727.1337,Person,Nuisance Fire,49.3885,-121.4415,0.0
K50038,20130504.1513,Unknown,Other,49.6724,-119.5658,0.0
V80161,20040617.1515,Person,Nuisance Fire,50.0791,-125.2525,0.0
V70072,20110523.1605,Person,Nuisance Fire,49.45,-125.13,0.0
V60085,20120603.2024,Person,Nuisance Fire,48.7757,-123.6195,0.0
V10066,20130520.1652,Person,Nuisance Fire,49.5719,-121.8134,0.0
V30242,20120806.1447,Person,Nuisance Fire,50.31330000000001,-122.7982,0.0
V91787,20090917.1111,Person,Nuisance Fire,50.6516,-126.9832,0.0
V50562,20130812.1446,Person,Nuisance Fire,49.7244,-124.4278,0.0
V10494,20120823.1353,Person,Nuisance Fire,49.1072,-121.6363,0.0
V60229,20030722.1715,Person,Nuisance Fire,48.7743,-123.9517,0.0
V60789,20110828.1715,Person,Nuisance Fire,48.441,-123.5112,0.0
V30305,20030802.2231,Person,Nuisance Fire,50.2849,-122.8492,0.0
V30112,20100524.1554,Person,Nuisance Fire,50.2462,-123.5813,0.0
K60431,20090614.1415,Lightning,Other,49.33770000000001,-120.5466,0.0
V10655,20120903.1422,Person,Nuisance Fire,49.5228,-121.7666,0.0
V30073,20110523.1618,Person,Nuisance Fire,50.1242,-123.3987,0.0
V31664,20090830.0242,Person,Nuisance Fire,50.11,-123.4,0.0
V70512,20040814.1415,Person,Nuisance Fire,48.9667,-123.8333,0.0
V11284,20090801.2151,Person,Nuisance Fire,49.0786,-121.7081,0.0
V31632,20090827.1528,Lightning,Duplicate,50.6043,-122.7532,0.0
V12986,20180902.1142,Person,Nuisance Fire,49.1032,-121.6383,0.0
V51277,20100912.1535,Person,Nuisance Fire,49.4986,-123.3907,0.0
V10146,20110611.1356,Person,Nuisance Fire,49.1068,-121.6414,0.0
V10830,20120923.161,Person,Nuisance Fire,49.4441,-121.8475,0.0
G80130,20000618.11,Person,Nuisance Fire,57.0,-122.3833,0.0
V70181,20110617.2151,Person,Nuisance Fire,49.2596,-124.9284,0.0
G32201,20170927.1126,Person,Nuisance Fire,52.6568,-119.1917,0.0
R10047,20120723.1351,Person,Nuisance Fire,54.0144,-125.7365,0.0
V10819,20120922.1907,Person,Nuisance Fire,49.0895,-121.7897,0.0
V30482,20100719.1305,Person,Nuisance Fire,49.8355,-123.1858,0.0
N50082,20070709.1607,Person,Nuisance Fire,49.0667,-117.05,0.0
V70741,20131027.1652,Person,Nuisance Fire,49.5296,-124.9655,0.0
V60141,20110608.1902,Person,Nuisance Fire,48.6648,-123.6261,0.0
V10602,20090705.19,Person,Nuisance Fire,49.2396,-121.6026,0.0
G61623,20170808.1034,Unknown,Smoke Chase,54.9172,-122.9827,0.0
G10390,20180526.1037,Unknown,Smoke Chase,53.8513,-122.6932,0.0
V10957,20090725.2006,Lightning,Nuisance Fire,49.37750000000001,-123.3899,0.0
V10058,20160522.1353,Person,Nuisance Fire,49.5124,-121.7673,0.0
V10963,20130329.1911,Person,Nuisance Fire,49.4898,-121.8837,0.0
V10711,20110821.1739,Person,Nuisance Fire,49.5075,-121.8493,0.0
V60204,20050802.1343,Person,Nuisance Fire,48.338,-123.6031,0.0
V51158,20100829.2,Person,Nuisance Fire,49.5056,-123.7264,0.0
G10671,20170707.1631,Lightning,Duplicate,53.3475,-122.3669,0.0
V10088,20100524.1252,Person,Nuisance Fire,49.1665,-121.7373,0.0
V11053,20180707.1121,Person,Other,49.9296,-121.9765,0.0
V70856,20110904.1537,Person,Nuisance Fire,48.9295,-123.6317,0.0
V80459,20070912.1623,Person,Nuisance Fire,50.2353,-125.4965,0.0
