FIRE_NO,IGN_DATE,FIRE_CAUSE,FIRE_TYPE,LATITUDE,LONGITUDE,SIZE_HA
C10038,20150504.19,Lightning,Fire,53.3577,-123.5022,164.0
V10622,20030907.1315,Lightning,Fire,49.01170000000001,-121.648,8.0
N40682,20030806.15,Lightning,Fire,51.9555,-118.8427,8.0
K20646,20060724.2044,Lightning,Fire,50.70330000000001,-121.3787,8.0
V82654,20180811.013,Lightning,Fire,50.2333,-126.961,3.0
C10822,20170707.1509,Lightning,Fire,53.1212,-120.8496,587.0
C10683,20170707.1444,Lightning,Fire,52.81030000000001,-122.3036,595.0
C10017,20150416.151,Person,Fire,52.4832,-122.6345,2.61
C50017,20130423.194,Person,Fire,51.41560000000001,-124.0761,12.0
N60541,20000808.073,Person,Fire,49.0263,-118.1042,4.2
K70278,20140714.1824,Lightning,Fire,50.0277,-121.5718,5.0
N70330,20060714.2149,Lightning,Fire,50.9112,-117.1717,3.6
C40018,20060423.16,Person,Fire,51.38670000000001,-121.81,60.0
K41870,20180801.04,Lightning,Fire,50.4331,-119.8515,114.6
K70522,20021013.18,Person,Fire,51.0455,-122.7647,2.0
G70061,20000501.133,Person,Fire,55.65,-120.7833,94.0
N50626,20090730.2204,Lightning,Fire,50.9469,-117.6237,4.9
N20572,20190613.191911,Lightning,Fire,49.9778,-115.7435,2.3000000000000003
G70696,20060828.12,Person,Fire,55.8385,-121.7034,4.0
N70261,20150630.2156,Lightning,Fire,49.6209,-117.2311,777.0
V30150,20120715.12,Lightning,Fire,50.5934,-123.3197,2.2
G80106,20060503.2,Person,Fire,56.2867,-121.2052,25.0
K72342,20180327.22,Person,Fire,50.2177,-121.5893,5.5
C10067,20000427.1,Person,Fire,52.9983,-122.48,2.0
C20013,20020420.15,Person,Fire,51.5983,-122.0833,4.0
V72296,20171020.1,Person,Fire,49.3657,-124.8495,20.0
K40303,20010830.1545,Person,Fire,50.3433,-120.0522,25.0
K60009,20120407.152,Unknown,Fire,49.3416,-120.0482,10.7
G90243,20050621.1551,Lightning,Fire,59.8763,-120.5608,3.0
C10669,20091105.09,Person,Fire,52.75850000000001,-122.2858,5.0
G90185,20050529.2332,Lightning,Fire,59.2027,-121.9368,61.0
C10161,20170327.12,Person,Fire,52.9421,-123.5847,2.0
G10060,20130510.103,Person,Fire,53.7786,-122.6272,14.0
R10258,20100728.0307,Lightning,Fire,53.3825,-126.699,6.7
K60660,20150329.12,Unknown,Fire,50.1648,-120.9613,4.0
N10204,20030723.15,Person,Fire,49.6492,-115.6466,10.0
R80106,20150629.152,Lightning,Fire,53.31480000000001,-128.42700000000002,142.3
G80031,20120508.15,Person,Fire,56.5764,-120.3857,6.3
G30043,20000425.12,Person,Fire,53.5641,-120.6691,3.8
N10194,20180514.16,Person,Fire,50.1103,-114.8253,4.0
K30555,20030810.174,Person,Fire,50.6627,-119.068,10.5
G50121,20060504.01,Person,Fire,54.53250000000001,-125.1695,21.1
G10286,20060627.133,Person,Fire,53.4377,-123.3865,32.5
G80482,20131026.14,Person,Fire,56.2057,-120.6118,2.8000000000000003
G80447,20130806.1838,Lightning,Fire,58.5529,-120.7309,9.9
K10746,20060729.12,Lightning,Fire,51.2961,-119.3514,2.6
G80379,20120808.2,Lightning,Fire,57.5593,-120.0737,9600.0
K70188,20170528.17,Person,Fire,50.2565,-121.4093,6.0
K20001,20140401.1401,Person,Fire,50.6006,-119.898,5.8
